Date,Subject,Sentiment on/Mention of CAF/Canada?,Key Quote,Outlet,Link
,No Fly Zone,No,We need to be creative and think proactively supporting #Ukraine against #Russia’s aggression. Leveling the playing field somewhat (on land and in the air) is crucial. This is one potential solution 👇 #RussiaUkraine #russianinvasion,twitter,
,NATO,No,"Retweeting from an article; 

""Zelenskyy is right in requesting air power support. It is necessary to slow or stop the oncoming juggernaut of Russian armored forces. The United States has the most effective weapon for this role — the U.S. Air Force’s A-10 aircraft.""",twitter,https://twitter.com/michaeldweiss/status/1499406644630929411
,Russia in Ukraine,No,"#Odessa a beautiful, cosmopolitan city where I was fortune enough to visit several times and where dear friends live, is waiting and preparing for the invading hordes. All because of an aging psychopath of a tyrant and his delusions of grandeur. #PutinWarCrimes #RussiaUkraine",twitter,
,,,,,
Dave Perry - CGAI,,,,,
,,,,,
,Canada aid to Ukraine,Yes,Retweeting MND's announcemne of additional aid to Ukrainbe,Twitter,
,Canada reinforcements Europe,Yes,Worth re-upping this thread about quick deployments,Twitter,https://twitter.com/DavePerryCGAI/status/1499372892768849920
,,,,,
Sarah Teich - MLI,,,,,
,,,,,
,International Law,No,"Pleasure as always to be on 
@CTVNews
. 

We speak about the 
@IntlCrimCourt
examination into Russia/Ukraine, evidence of atrocity crimes, and the possibility of #Putin being charged criminally by the court.",CTV News,https://www.ctvnews.ca/video?clipId=2394617
,,,,,
Aisha Ahmad - U Toronto,,,,,
,,,,,
,No Fly Zones,No,"This is an extremely stupid, dangerous, and incorrect ""take"". This level of stupidity will get us all killed.

And I assure you... despite him saying ""we will have to fight"", this fool is not going to the trenches with you. He's going to be sipping lemonade & tweeting

(On no Fly Zones)",Twitter,https://twitter.com/ProfAishaAhmad/status/1499795734081769479
,No Fly Zones,No,"I hate Putin. I hope & pray Ukraine wins. 

But I also know direct NATO action will provoke a full-scale war with nuclear weapons. And I do not want entire cities to be incinerated.

Great power transitions are extremely dangerous. War fever and hysteria make it worse.

Also, I don't blame Ukrainians at all for asking for a no fly zone, direct intervention, etc. They are in an asymmetric conflict, and their job is to get others to fight on their side. They are already at war. So they are going to say WW3 has already happened. But... it hasn't.",Twitter,https://twitter.com/ProfAishaAhmad/status/1499450486520365057
,,,,,
Shuvaloy Majumdar - MLI,,,,,
,,,,,
,Russia in Ukr,No,"People who think a regime unencumbered by genocide in Syria, indiscriminate killing in Africa, now savagely invading Ukraine and bombarding civilians would act in good faith, are living in a fantasy.",Twitter,
,No Fly Zones,Yes,"Thread: At the 
@NATO
Foreign Minister’s Meeting, Minister 
@melaniejoly
has opportunity to:
1. Support Ukrainians accomplish territorial air superiority
2. Engage a Canada-led allied energy security pact
3. Harden NATO’s borders, incl the Arctic flank, a Russia/China priority /1

An interesting model for establishing air superiority: “The Israeli drones are unmarked, and the Israeli jets and helicopters cover up their markings. Some fly circuitous routes to create the impression that they are based in the Egyptian mainland…” /2",Twitter,https://twitter.com/shuvmajumdar/status/1499452947389952009
,,,,,
Ken Coates- MLI,,,,,
,,,,,
,Canadian Arctic,Yes,"When it comes to Canada's #Arctic sovereignty, #Russia's invasion of #Ukraine is ""kind of a wake-up call,"" said MLI Distinguished Fellow, 
@kenscoates
. #cdnpoli",CBC News,https://www.cbc.ca/news/canada/north/russia-ukraine-arctic-council-sovereignty-1.6369260
,,,,,
Richard Shimooka- MLI,,,,,
,,,,,
,Canadian Foreign and Defence Policy,Yes,"Similarly, there are limits to what Canada can provide in terms of military capability to assist in the defence of NATO members in the region. The government has announced 3,400 Canadian Armed Forces (CAF) personnel from across all branches of the service will be placed on stand-by for potential assignment to the NATO Response Force, as well as the immediate deployment of an artillery battery, electronic warfare personnel, a second frigate and an CP-140 Aurora multipurpose aircraft to Eastern Europe. While on the surface these contributions may seem significant, the actual capability it brings is much more limited.

Historically, Canada’s primary contribution to similar crises is usually its CF-18 Hornet fighter fleet, an option that seems unavailable at this time. The Royal Canadian Air Force (RCAF) has been particularly hard hit by severe understaffing, with its tactical fighters only at 50 percent availability rate. Moreover, Canada’s CF-18 fleet is nearing obsolescence and would serve little useful purpose in any serious conflict between NATO and Russia. Its replacement program remains unselected and the fleet-replacement process is stalled until the government selects a winning fighter.

Canada’s ability to deploy the 3,400 CAF personnel rapidly and with capabilities to potentially operate in a high-intensity conflict environment is also fraught with challenges. When it comes to any ground component, the Canadian army does not possess any advanced anti-air capabilities, which would leave them vulnerable to strikes by aircraft, helicopters and drones; all of which have been observed in Ukraine.

Moreover, Canada has significant limitations in its ability to provide modern command and control and ISR capabilities for any formations to be assigned to the NATO Response Force. When Canada deployed its battalion-sized (500 soldiers) Enhanced Forward Presence to Latvia in 2015, it required a full year to acquire these capabilities so the formation could operate successfully in the field. The CAF’s potential deployment to the NATO Response Force would face similar challenges. If the earlier analysis of Western ISR’s role in the conflict is accurate, any deployed forces will require extensive upgrades and reorganization to take advantage of these opportunities.

Over the coming years, Canada will likely face pressure to significantly increase its defence spending beyond the current 1.2-1.4 percent of GDP if it has any desire to play a useful role in transatlantic security going forward.",MLI Policy Report,https://macdonaldlaurier.ca/what-weve-learned-so-far-from-russias-war-on-ukraine-richard-shimooka-in-open-canada/
,Canadian Military,Yes,"""In 2019, respected military analyst Richard Shimooka of the Macdonald-Laurier Institute qualified Canada’s military procurement system as 'the worst in the western world.' This is unacceptable, and terrifying.""",Nartional Post,https://nationalpost.com/opinion/tasha-kheiriddin-canada-needs-the-ability-to-defend-itself-in-an-increasingly-uncertain-world
,,,,,
Bessma Momani - U Waterloo,,,,,
,,,,,
,Russian Disinfo,No,"Sums up the challenge...especially when (older) Russians mostly watch state TV. 

In respons to tweet: 

'My city is being shelled, but my mum in Russia won’t believe me' https://bit.ly/3IHPHLf",Twitter,https://twitter.com/home
,,,,,
Brian Bow - Dalhousie,,,,,
,,,,,
,Russia in Ukraine,No,"surprised that a bunch of people are like ""pfft whatevs"" about the prospect of nuclear war? did you not pay attention to that whole COVID thing?",Twitter,https://twitter.com/brianjbow/status/1499285565727985674
,,,,,
Stephanie Carvin - Carleton,,,,,
,,,,,
,Sanctions,No,Sanctions are just naughty lists unless you have the means to enforce them. Canada has had only one successful sanctions prosecution since 1992. We do not have the capacity - and we need the government to fix this.,Twitter,
,Russia in Ukraine,No,"Not a fan of the “Putin plays 8-dimensional chess” narrative, but wondering if this just an attempt to offer something that was already unacceptable to Ukraine to at least look like he is trying. Plus what is to stop him from trying again in a few years if he achieves this?",Twitter,
,Canadian Foreign Fighters,No,"There has been a lot of questions asked about Canadians travelling overseas to fight with Ukrainian forces. 
@IntrepidPodcast
has a very short breakdown of the legal issues here by 
@leahwest_nsl
:",Twitter,
,,,,,
Jacqueline O'Neill - Canada's Ambassador for WPS,,,,,
,,,,,
,CAF in Ukr,Yes,"LCol 
@MelanieLake 
- Excellent job on 
@OttawaMorning 
. 

Your Ukrainian counterparts speak so highly of your leadership when serving as Task Force Commander of Operation UNIFIER - & it’s easy to see why. 

Thx for helping describe the many impacts of the mission. 

#StandWithUkraine️",Twitter,
,,,,,
Andrea Charon - U Manitoba,,,,,
,,,,,
,Russian Military Strategy,N/A,"""Because if Russia felt boxed in, where are they going to hit?"" 
@AndreaCharron 
said. ""They're going to hit somewhere that is not very populated, and that speaks to the Arctic. ""This is 'escalate to de-escalate.'""",Twitter,https://www.ctvnews.ca/politics/ukraine-war-sparks-fresh-calls-for-urgency-on-upgrading-north-america-s-defences-1.5806978
